socioeconomic_group,region,state,urban_rural,school_network,count,mean,median,std
Baixo,Centro-Oeste,MT,Rural,Privada,1,244.59447588888887,244.59447588888887,
Baixo,Centro-Oeste,MT,Rural,Pública,29,228.65085630066218,226.32940105332048,18.794298516832736
Baixo,Centro-Oeste,MT,Urbana,Pública,22,227.32226992221447,228.66950008630954,9.67562240813662
Baixo,Nordeste,AL,Rural,Pública,66,270.2067216307686,251.222795651634,52.280868471250656
Baixo,Nordeste,AL,Urbana,Pública,190,251.75700062005654,244.92351310245888,33.26492666498334
Baixo,Nordeste,BA,Rural,Pública,455,233.5897437679737,232.6559680434782,20.12308789077896
Baixo,Nordeste,BA,Urbana,Privada,1,249.72536971875,249.72536971875,
Baixo,Nordeste,BA,Urbana,Pública,782,231.15759876325055,230.64477984504492,15.261897897805538
Baixo,Nordeste,CE,Rural,Pública,264,269.3253725854434,262.8770683360116,34.914744206666505
Baixo,Nordeste,CE,Urbana,Privada,1,242.73979453846158,242.73979453846158,
Baixo,Nordeste,CE,Urbana,Pública,531,261.3152803852875,254.84184293135226,29.92048519859285
Baixo,Nordeste,MA,Rural,Privada,1,227.79907649999998,227.79907649999998,
Baixo,Nordeste,MA,Rural,Pública,230,230.97995318859992,230.88275874891772,16.72238335506133
Baixo,Nordeste,MA,Urbana,Pública,419,235.76923822365953,234.71470779844213,16.270329083257604
Baixo,Nordeste,PB,Rural,Pública,69,236.04996135380577,236.47410753928574,19.354005908481852
Baixo,Nordeste,PB,Urbana,Pública,328,239.11570007431717,238.73295725435406,16.992640377861466
Baixo,Nordeste,PE,Rural,Pública,175,251.32046176226547,248.6481789827827,22.229163222886932
Baixo,Nordeste,PE,Urbana,Privada,1,241.07884220000005,241.07884220000005,
Baixo,Nordeste,PE,Urbana,Pública,531,244.88981049822573,243.8818206374437,15.650456313846256
Baixo,Nordeste,PI,Rural,Pública,53,245.42269924703342,243.82892359999997,22.405708574392264
Baixo,Nordeste,PI,Urbana,Privada,1,259.906510032258,259.906510032258,
Baixo,Nordeste,PI,Urbana,Pública,267,254.4385531165603,253.0232833333333,21.347168795871408
Baixo,Nordeste,RN,Rural,Pública,107,229.08843608534454,227.96193380000005,15.998017767918972
Baixo,Nordeste,RN,Urbana,Pública,308,234.66443707001372,234.21300776284284,15.571483947670927
Baixo,Nordeste,SE,Rural,Pública,55,237.5505181180638,237.52426377877768,16.42831657623584
Baixo,Nordeste,SE,Urbana,Pública,149,236.00355062625715,235.55875892999546,12.533095254382633
Baixo,Norte,AC,Rural,Pública,32,236.7213389915204,236.91250904540806,13.790733941627593
Baixo,Norte,AC,Urbana,Pública,41,241.45606016248888,241.78456275761496,9.068092509208785
Baixo,Norte,AM,Rural,Pública,57,235.31857898008423,235.87306581250002,19.529301638593974
Baixo,Norte,AM,Urbana,Pública,133,243.39129277699936,242.97873884747952,13.063849846566157
Baixo,Norte,AP,Rural,Privada,1,229.50351494117646,229.50351494117646,
Baixo,Norte,AP,Rural,Pública,17,223.95464793215132,224.0348946666667,9.282658010332915
Baixo,Norte,AP,Urbana,Pública,33,227.89254177072237,229.2202915665782,8.049632965901067
Baixo,Norte,PA,Rural,Pública,188,229.69984756335572,228.84559368246113,15.677768153386193
Baixo,Norte,PA,Urbana,Pública,484,238.96953893969578,239.24563660358945,12.375228922467523
Baixo,Norte,RO,Rural,Pública,24,241.46325193920083,237.03628222527476,18.696134181753287
Baixo,Norte,RO,Urbana,Pública,30,233.9013639719245,233.50127512727494,11.482713199146607
Baixo,Norte,RR,Rural,Pública,18,226.49558974939217,226.96260535000002,13.404694699322345
Baixo,Norte,RR,Urbana,Pública,16,225.12337541195907,225.65247072801316,7.420265975491234
Baixo,Norte,TO,Rural,Pública,42,233.9921780217051,231.70624366136366,14.568800701655
Baixo,Norte,TO,Urbana,Privada,1,272.9781754999999,272.9781754999999,
Baixo,Norte,TO,Urbana,Pública,120,234.92222009300087,233.69132784627976,11.167929457352052
Baixo,Sudeste,ES,Rural,Pública,34,260.8499826508923,259.0408585881935,19.34373049113523
Baixo,Sudeste,ES,Urbana,Pública,66,252.68781499199383,251.61387100990177,21.64010728358116
Baixo,Sudeste,MG,Rural,Pública,133,240.7787706475784,241.6454228888889,17.885525056811872
Baixo,Sudeste,MG,Urbana,Pública,473,238.31448544763623,237.90271131716977,16.706148087727478
Baixo,Sudeste,RJ,Rural,Pública,46,237.83138166163462,239.30053587462504,22.1198347641734
Baixo,Sudeste,RJ,Urbana,Pública,238,237.2868756878455,237.67278141029263,17.821636355855638
