socioeconomic_group,math_nivel_0_pct,math_nivel_1_pct,math_nivel_2_pct,math_nivel_3_pct,math_nivel_4_pct,math_nivel_5_pct,math_nivel_6_pct,math_nivel_7_pct,math_nivel_8_pct,math_nivel_9_pct,portuguese_nivel_0_pct,portuguese_nivel_1_pct,portuguese_nivel_2_pct,portuguese_nivel_3_pct,portuguese_nivel_4_pct,portuguese_nivel_5_pct,portuguese_nivel_6_pct,portuguese_nivel_7_pct,portuguese_nivel_8_pct
Muito baixo,25.315351652282903,21.78886194672513,19.387115674157112,14.199740986170085,9.478932361574834,5.259732751490104,2.4865911668392933,1.1658940258110873,0.6033562858427327,0.31442314910671376,27.693303161949192,19.040409348858592,18.106713418777893,14.565847045206182,10.749194493679285,6.380452098307887,2.682247630092462,0.7241355721317552,0.05769723099674965
Baixo,19.769396997844716,19.280029988738654,19.90971790883223,16.96246546428165,12.237069412118547,6.928140253941112,3.017335901305964,1.1433091333428125,0.4735841083632029,0.27895083123111164,21.06424013219717,15.882557801359695,17.650229725661507,17.04870170728678,14.166960449977964,8.99576188646417,3.948540519678766,1.1691606547539746,0.0738471226199726
Médio,16.607721060391516,17.30114872877444,19.553425058170603,18.54400983147653,14.253962884776563,8.554409269726156,3.606284682118127,1.1658984305347528,0.2993246748660959,0.11381537916521994,17.903512055877886,14.069150399466244,16.84728882077801,18.085947905938117,16.228989979024316,10.810574800595742,4.725069398194583,1.2568927250801287,0.07257391504497289
Alto,13.010244127150251,14.621582655125945,18.273185727382952,19.235818493992845,16.64131283924871,11.040353994558638,4.92608509038317,1.721398028612649,0.42699576492546826,0.10302327861937098,14.228033612917809,12.003275991404905,15.693394704727725,18.52407863033598,18.458574026568627,13.294587218686482,6.031053311207748,1.6802229890058185,0.08677951514490312
Muito alto,8.19150742373464,10.049036798323161,14.43544655280948,18.09895560039332,19.13480485937172,15.194800142653614,9.263623417664801,3.966665786534678,1.2701098512801625,0.39504956723441975,9.168143611849034,8.428462818582174,12.452464175554109,17.43886897142267,20.96214603827396,18.186307795966204,9.996828961698405,3.1972897465523036,0.16948788010113744
