socioeconomic_group,region,state,urban_rural,school_network,count,mean,median,std
Baixo,Nordeste,AL,Urbana,Pública,190,250.71440168724166,247.68961879508845,21.4354408238999
Baixo,Nordeste,BA,Rural,Pública,455,234.4928268388276,234.51392217142856,19.83771587255391
Baixo,Nordeste,BA,Urbana,Privada,1,263.94502835937504,263.94502835937504,
Baixo,Nordeste,BA,Urbana,Pública,782,234.62082420690137,234.25369635822733,16.20498529714372
Baixo,Nordeste,CE,Rural,Pública,264,265.6521514430471,262.91716143181816,25.699626475654384
Baixo,Nordeste,CE,Urbana,Privada,1,258.7133127692308,258.7133127692308,
Baixo,Nordeste,CE,Urbana,Pública,531,264.8854109219351,262.66152481771775,20.22942117643626
Baixo,Nordeste,MA,Rural,Privada,1,231.56770299999994,231.56770299999994,
Baixo,Nordeste,MA,Rural,Pública,230,234.396021280973,235.08970509208285,17.52408396586441
Baixo,Nordeste,MA,Urbana,Pública,419,242.0275477961508,241.44408265966345,15.625177479276172
Baixo,Nordeste,PB,Rural,Pública,69,241.1997520000035,240.5946560454545,17.80054913031125
Baixo,Nordeste,PB,Urbana,Pública,328,243.91541214936532,244.36552153448275,17.33250895077916
Baixo,Nordeste,PE,Rural,Pública,175,248.39572084536485,247.43130313006455,17.823525337915182
Baixo,Nordeste,PE,Urbana,Privada,1,286.40539400000006,286.40539400000006,
Baixo,Nordeste,PE,Urbana,Pública,531,249.17994310254434,249.4319365714286,13.473015656014526
Baixo,Nordeste,PI,Rural,Pública,53,241.46378074824702,238.1395718,21.97400551603142
Baixo,Nordeste,PI,Urbana,Privada,1,261.7746389677418,261.7746389677418,
Baixo,Nordeste,PI,Urbana,Pública,267,254.8416608394874,255.88907033333334,20.159408160353582
Baixo,Nordeste,RN,Rural,Pública,107,233.2094908485614,234.6714592727273,17.479816795647707
Baixo,Nordeste,RN,Urbana,Pública,308,239.3896594866335,240.50547627814052,16.825934791962688
Baixo,Nordeste,SE,Rural,Pública,55,238.45104336681942,238.40469566666667,16.253781287948982
Baixo,Nordeste,SE,Urbana,Pública,149,239.8494109841072,239.8919833846154,13.127176327377757
Baixo,Norte,AC,Rural,Pública,32,241.788414864073,245.0005958409091,17.241986051282876
Baixo,Norte,AC,Urbana,Pública,41,243.40654749283854,243.80440124896293,10.404469301634776
Baixo,Norte,AM,Rural,Pública,57,238.04544454434915,237.84572144444437,19.11742046123441
Baixo,Norte,AM,Urbana,Pública,133,247.93246193497725,248.37320794819576,12.684865571092477
Baixo,Norte,AP,Rural,Privada,1,214.0412277647059,214.0412277647059,
Baixo,Norte,AP,Rural,Pública,17,229.91297555899942,226.39858214746133,12.33488742550018
Baixo,Norte,AP,Urbana,Pública,33,235.6646009755234,236.80346869699358,10.81826893218629
Baixo,Norte,PA,Rural,Pública,188,232.20100912259448,231.42993994221018,15.506021185346563
Baixo,Norte,PA,Urbana,Pública,484,245.63704588122246,245.90822447562442,12.563917951619729
Baixo,Norte,RO,Rural,Pública,24,239.90050495814137,238.94156729797982,16.188160395023086
Baixo,Norte,RO,Urbana,Pública,30,235.05507356029997,235.51937899741574,13.111901508666474
Baixo,Norte,RR,Rural,Pública,18,225.00766902058913,225.00463612227549,12.127477189512758
Baixo,Norte,RR,Urbana,Pública,16,227.61430942930747,228.5832413648052,14.437309711800891
Baixo,Norte,TO,Rural,Pública,42,234.04330750764447,234.73019227777775,15.499456771118926
Baixo,Norte,TO,Urbana,Privada,1,267.79192519999987,267.79192519999987,
Baixo,Norte,TO,Urbana,Pública,120,235.99760132340455,236.03840316095494,12.430948062879022
Baixo,Sudeste,ES,Rural,Pública,34,259.0658728703102,256.1435457982456,20.11538747742099
Baixo,Sudeste,ES,Urbana,Pública,66,251.10451732929852,253.00226368962012,21.527458057673012
Baixo,Sudeste,MG,Rural,Pública,133,241.79806429095044,244.05213275000003,17.49991739916896
Baixo,Sudeste,MG,Urbana,Pública,473,240.57300973941096,239.88445652229174,16.182328448929805
Baixo,Sudeste,RJ,Rural,Pública,46,239.8631156062545,246.41987604163177,24.046478973913604
Baixo,Sudeste,RJ,Urbana,Pública,238,242.52849861036117,241.92113088287618,19.035306716287185
Baixo,Sudeste,SP,Rural,Pública,14,253.96009497001347,254.15451886607934,16.37427235864927
Baixo,Sudeste,SP,Urbana,Pública,55,239.3799353726252,239.6646458223335,14.233001706272182
Baixo,Sul,PR,Rural,Pública,28,254.35525810452526,253.92729096153846,15.368991923197424
Baixo,Sul,PR,Urbana,Pública,17,247.13764960760443,246.05283212499998,8.981464247393156
Baixo,Sul,RS,Rural,Pública,17,241.1760997770533,239.69723314285716,18.141949534918833
Baixo,Sul,RS,Urbana,Pública,48,240.95399274702217,244.29759442613636,16.54057369486713
Baixo,Sul,SC,Urbana,Pública,2,248.33592785579506,248.33592785579506,3.1034089422235973
Médio,Centro-Oeste,DF,Rural,Pública,7,226.88439477501862,231.48369789063682,18.10288270720272
Médio,Centro-Oeste,DF,Urbana,Pública,12,238.77690266710724,240.85266852406488,11.363762086274619
Médio,Centro-Oeste,GO,Rural,Privada,1,237.99971276923077,237.99971276923077,
Médio,Centro-Oeste,GO,Rural,Pública,35,252.95173942549576,253.40209735294118,15.982827338683167
Médio,Centro-Oeste,GO,Urbana,Pública,334,258.09665560819036,257.70022171228834,15.497509946960324
Médio,Centro-Oeste,MS,Rural,Privada,1,250.74152003125002,250.74152003125002,
Médio,Centro-Oeste,MS,Rural,Pública,26,240.979434489733,237.92499389285715,13.48669283463274
Médio,Centro-Oeste,MS,Urbana,Pública,119,246.2484797067349,245.23713331034486,13.631174567666925
Médio,Centro-Oeste,MT,Rural,Pública,70,241.4510022048931,241.64509629819386,13.903792777752107
Médio,Centro-Oeste,MT,Urbana,Pública,202,239.00876611399607,238.95079300158946,12.102321859637756
Médio,Nordeste,AL,Rural,Pública,7,270.7783727805089,261.1274670882353,40.088209029870974
Médio,Nordeste,AL,Urbana,Privada,4,267.39052157142856,259.94802106593403,23.747519888892295
Médio,Nordeste,AL,Urbana,Pública,38,261.6050111852822,253.4799904034474,27.29799268811741
Médio,Nordeste,BA,Rural,Privada,1,234.37679789999999,234.37679789999999,
Médio,Nordeste,BA,Rural,Pública,93,240.7441989090361,238.75410435294117,21.14328425384112
Médio,Nordeste,BA,Urbana,Privada,2,255.4783768153409,255.4783768153409,32.00324137633885
Médio,Nordeste,BA,Urbana,Pública,240,247.81190198742007,248.29330633179723,16.48201851622773
Médio,Nordeste,CE,Rural,Pública,33,271.0956141465026,272.6078691935484,23.77706534486329
Médio,Nordeste,CE,Urbana,Privada,5,279.3678365449495,276.3363343214287,14.759990042144208
Médio,Nordeste,CE,Urbana,Pública,118,272.86632579328284,273.00699996057926,16.756207408729992
Médio,Nordeste,MA,Rural,Privada,1,275.7834642222222,275.7834642222222,
Médio,Nordeste,MA,Rural,Pública,11,247.09268807135985,252.43659963636364,24.675998714656725
Médio,Nordeste,MA,Urbana,Privada,3,274.1618987773109,272.75957511764705,7.689664580985751
Médio,Nordeste,MA,Urbana,Pública,137,256.34808232223565,255.34872974461703,15.454634749365514
Médio,Nordeste,PB,Rural,Pública,4,244.63230965463487,247.15959685797102,20.97747352545935
Médio,Nordeste,PB,Urbana,Privada,1,264.544874952381,264.544874952381,
Médio,Nordeste,PB,Urbana,Pública,110,254.69696805012342,254.75313861934916,15.695842747944706
Médio,Nordeste,PE,Rural,Pública,10,258.2506264377615,257.7148816357851,14.254148254201981
Médio,Nordeste,PE,Urbana,Privada,5,278.8271233124297,274.3834438571428,12.852578477488404
Médio,Nordeste,PE,Urbana,Pública,146,262.31892568709594,262.60384126718657,13.167543774478625
Médio,Nordeste,PI,Rural,Privada,1,257.5871077272728,257.5871077272728,
Médio,Nordeste,PI,Rural,Pública,3,250.48120775437528,256.69984946153846,13.629529288251378
Médio,Nordeste,PI,Urbana,Privada,8,277.08613250865966,277.24804948249994,10.985540682567045
Médio,Nordeste,PI,Urbana,Pública,66,269.5012769623271,276.1090122277165,22.466352212127077
Médio,Nordeste,RN,Rural,Privada,1,278.81900375,278.81900375,
Médio,Nordeste,RN,Rural,Pública,24,237.89704125815913,236.9481363454546,21.028362402182125
Médio,Nordeste,RN,Urbana,Privada,5,273.30014799460633,270.8463569375,18.8866178215706
Médio,Nordeste,RN,Urbana,Pública,117,247.38940468750462,248.74704210778353,16.02572558242355
Médio,Nordeste,SE,Rural,Pública,5,255.0941401501349,252.27274585714278,20.772456447018705
Médio,Nordeste,SE,Urbana,Privada,4,258.69153273529474,261.2975656532818,17.270400732159917
Médio,Nordeste,SE,Urbana,Pública,99,249.7843555706692,249.58978492637627,12.797581234841648
Médio,Norte,AC,Rural,Pública,2,255.71121756707586,255.71121756707586,17.707622885345707
Médio,Norte,AC,Urbana,Pública,24,259.9754639480537,262.35468553153953,9.184434728397374
Médio,Norte,AM,Rural,Pública,19,240.6540976059525,239.9348888636364,21.77082855031217
Médio,Norte,AM,Urbana,Pública,157,258.63101739068696,258.7407908500001,13.174328152441575
Médio,Norte,AP,Rural,Pública,10,235.20038386395268,234.34711550989817,11.817607333461632
Médio,Norte,AP,Urbana,Pública,42,243.53474230470883,244.87625306080227,10.788432466873742
Médio,Norte,PA,Rural,Privada,1,270.8091581538461,270.8091581538461,
Médio,Norte,PA,Rural,Pública,45,240.40857409227974,242.83445258256302,16.19577447318882
Médio,Norte,PA,Urbana,Privada,2,256.8020198856707,256.8020198856707,25.693071008091877
Médio,Norte,PA,Urbana,Pública,185,255.3566222908872,254.8678823235294,13.229636287814293
